3624,2552,2122,1746,1541,1414,1256,2214,2469,1498,647,356,164,100,38,8,16,11,10,4,14,0,0,1,0,0,0,0,0,2
22291,16012,14588,13051,12316,11146,9917,19739,15436,9113,3957,1746,1087,754,749,148,118,66,49,63,148,1,1,0,0,1,0,0,0,17
15730,13862,13240,11492,9746,8444,7351,13706,11019,5708,2826,1626,1002,605,480,120,97,50,34,22,96,1,0,2,0,2,0,0,3,25
84342,69298,67337,61218,54968,46702,39535,71716,68492,36126,16444,7923,3833,2560,2254,525,602,167,175,246,438,3,3,4,0,6,0,1,5,90
4473,3773,3018,2406,2138,1897,1769,3231,2867,2330,771,151,157,152,76,16,11,0,4,2,10,0,0,0,0,0,0,0,0,2
50561,42535,37462,32871,28509,24097,20194,35174,30846,16559,8561,4688,3298,2703,2758,304,261,94,106,72,248,0,1,3,0,2,1,5,3,30
81163,68350,61087,52209,44886,38054,33823,61123,42260,26879,13958,8406,6068,5145,3883,780,942,239,338,291,1170,6,3,11,2,8,2,6,7,142
111669,97955,88754,72067,54814,41678,32243,45448,51584,56078,47769,18929,12826,7995,5286,1042,1007,279,355,207,528,18,5,12,5,6,4,14,12,218
8023,5441,3823,2950,2309,2122,1964,3190,4046,2882,1607,913,375,320,526,47,25,14,20,18,40,0,0,0,0,0,0,0,0,2
63295,52632,46689,38111,28982,23093,18566,27003,27472,25170,22613,11250,7719,4846,4369,700,640,240,256,195,382,2,2,3,1,3,0,6,3,81
2651,2013,1562,1344,1157,986,936,1962,1522,1214,802,234,126,116,141,6,15,6,2,8,18,0,0,0,0,0,0,0,0,1
36590,28507,24210,20822,17605,14401,12367,20916,23440,15558,7642,3003,2067,1219,1431,239,199,117,111,158,416,3,1,3,1,2,1,4,4,40
103881,77698,68959,61278,52579,45010,38643,67914,77227,49911,21294,9516,3773,2126,1509,257,300,86,56,53,219,0,0,1,0,0,0,1,2,32
58103,41160,33266,25212,19385,15483,13092,19800,22808,19636,13898,6332,4409,3629,4733,727,583,313,332,297,769,12,2,2,0,6,0,6,8,46
3042,1964,1335,980,725,666,504,845,1110,895,621,234,231,216,336,14,13,6,4,0,13,1,0,0,0,0,0,0,0,1
163802,156012,150684,136051,121289,104515,88264,164112,126713,74128,36863,13276,7806,5933,4523,922,930,287,264,215,625,9,3,9,1,4,6,7,7,157
5895,6618,6408,5757,5177,4731,3918,3396,3049,2724,4628,5184,3734,2210,1610,835,563,448,379,305,198,110,3,14,2,2,4,8,0,4
3722,3373,2895,2198,1805,1589,1267,2000,2047,1316,1001,538,323,195,221,28,22,12,12,6,22,0,0,0,0,2,0,0,0,1
20928,18702,16969,15149,13682,11559,10672,18998,15899,10257,4206,1413,905,458,519,69,72,22,18,13,37,0,0,0,0,0,0,0,3,20
14373,11061,9397,7517,6022,5033,4092,6761,7574,6225,4302,1702,1032,741,472,103,98,33,38,26,48,1,2,2,0,0,0,1,2,23
3662,3216,2704,2174,1857,1437,1343,2453,1750,1106,568,420,372,272,220,30,23,20,8,10,32,0,0,0,0,0,0,0,0,7
9392,8755,8066,6945,6130,5399,4712,6317,7989,4579,2154,1054,647,488,316,401,68,53,36,32,22,49,59,0,0,0,0,0,0,1
95358,71785,57975,39569,27922,20400,16450,20182,37128,45078,31887,11783,8212,8173,8435,919,833,437,503,403,683,11,0,7,2,7,1,2,7,107
19998,18740,16964,15407,13566,11236,9083,17096,13807,6903,3468,1838,1082,764,434,56,54,12,14,12,32,0,0,0,0,0,0,0,0,5
13269,12033,10898,10149,9389,8396,7678,17101,11661,5156,1531,413,238,113,52,5,12,0,2,1,14,0,1,0,0,0,0,0,0,5
2513,2419,1936,1547,1397,1288,1318,2631,1902,750,549,181,166,45,44,7,15,0,1,2,6,0,1,0,0,0,0,1,0,3
7612,6338,5491,4495,3952,3598,3078,6161,4743,2510,1278,580,328,268,195,17,19,9,10,10,9,0,0,0,0,0,0,0,0,4
3565,2881,2607,2269,1887,1538,1223,2105,2104,1369,590,218,170,178,204,14,20,6,8,10,48,0,0,0,0,0,0,0,0,2
103068,58466,38902,28756,23063,18896,16622,25472,26828,21305,13987,6309,5739,9178,23749,1124,468,117,173,239,789,3,1,2,0,0,0,0,1,15
21676,21823,21427,20013,18351,16450,13845,27372,16795,7061,3635,1951,1199,920,738,146,137,74,68,68,126,1,0,2,0,0,1,0,0,20
3271,2223,1634,1296,989,773,672,1230,1677,1118,521,258,126,129,114,11,8,0,2,4,26,0,0,0,0,0,0,2,0,2
49806,38472,37374,33988,29230,26038,23493,34757,39384,32472,11761,4837,1258,611,277,139,193,55,50,39,128,1,0,1,0,0,0,0,1,16
2422,2137,1906,1595,1471,1419,1271,3110,1439,1009,463,233,113,98,72,24,10,1,8,6,39,0,0,0,0,1,0,0,1,7
27847,20610,16098,11903,9091,7264,6241,9930,11405,8344,5119,2637,2099,2139,2435,284,288,118,190,191,331,9,2,5,0,3,0,5,6,24
113841,105596,87821,62537,50106,41267,33891,50056,47749,36209,25009,16630,17229,15461,8031,1216,1097,529,560,511,970,9,5,10,7,13,2,7,9,154
62573,66801,64735,60196,55486,49446,44788,92990,56158,23592,11044,3473,2097,1389,1398,69,88,32,26,27,122,1,0,1,0,0,0,1,0,19
18048,15108,13565,11894,10187,8935,7683,14405,11752,8094,4104,1573,904,608,578,110,96,25,37,31,63,0,1,0,0,0,0,0,1,12
3995,3872,3949,3710,3428,3288,2936,6202,3729,1468,389,149,52,16,20,7,8,2,0,0,8,0,0,0,0,0,0,0,0,1
2383,2049,1845,1686,1695,1431,1316,1191,1042,989,1626,2160,1769,1044,585,250,138,60,33,18,2,12,0,3,0,0,0,0,2,4
2125,1910,1811,1783,1683,1617,1438,1336,1191,1001,999,1697,2163,1628,1185,661,329,154,103,72,73,30,16,17,0,0,8,0,1,1
5960,5568,4911,4221,3897,3409,2983,2672,2142,1933,2136,3637,3785,2417,1496,787,564,303,341,273,332,345,10,11,7,4,4,4,4,2
8731,7769,7021,6293,5593,5251,4931,12188,6885,2872,1058,357,178,129,64,17,10,2,12,8,10,0,0,0,0,0,0,0,0,2
1605,1252,1072,984,870,853,1081,2815,946,327,204,83,52,28,28,3,6,6,0,2,12,0,0,0,0,0,0,0,0,2
6163,6632,6453,5751,5206,4329,3730,7676,5403,2528,867,438,218,91,85,17,18,8,10,8,19,1,0,0,0,0,0,0,2,3
20646,16490,12987,10601,8864,6860,5580,8066,9560,6954,3703,1772,1150,1283,2809,73,60,34,34,54,106,0,0,0,0,0,0,1,1,2
26831,19310,14436,10689,7874,5903,4700,6484,5792,4448,3191,2804,2270,2343,5858,245,247,134,106,164,558,1,0,0,0,1,0,0,2,6
26007,24275,22226,19916,18185,16531,15179,29292,19190,9419,7734,2303,1388,966,1317,146,204,67,48,79,158,1,0,5,2,2,1,2,3,36
3809,3103,2801,2300,1813,1497,1315,1202,1125,1038,995,1359,2178,2012,1499,1014,749,374,310,162,156,138,69,55,2,0,0,0,0,2
5319,3993,3481,2918,2292,1956,1606,3075,3009,2450,1693,400,273,187,70,13,36,7,1,4,13,0,0,1,0,0,1,1,1,4
4572,3330,2436,1947,1491,1238,1086,1901,2259,1324,590,322,217,193,323,18,14,12,10,18,22,0,0,0,0,0,0,0,0,2
2417,2015,1553,1235,981,1008,816,1715,1730,868,386,215,129,76,82,7,8,2,4,2,8,0,0,0,0,0,0,0,0,3
4747,4498,4092,3441,3069,2662,2267,4212,3384,1446,582,387,202,217,212,38,15,8,13,18,44,0,0,0,0,2,0,0,0,7
5836,4740,3831,3038,2382,2086,1701,3085,2679,1737,862,526,399,350,271,32,0,6,8,6,28,1,0,0,0,0,0,0,0,1
3050,2668,2508,2436,2028,1657,1376,1878,3268,2190,1037,347,114,44,24,21,2,2,0,4,0,0,4,1,0,0,0,0,0,1
23415,22129,22424,21548,20258,17435,14512,26300,20697,9938,3556,1775,917,678,384,134,191,58,70,81,134,2,1,2,0,1,0,0,2,29
2915,2361,1958,1517,1357,1148,946,1658,1349,959,662,422,197,213,119,19,18,5,7,2,18,0,0,1,0,0,0,0,0,6
164680,164731,159328,148684,137346,123052,110993,235541,157836,63816,24451,7999,3775,2429,1620,285,262,47,49,31,186,4,1,3,1,0,0,2,5,48
22893,18365,15183,12452,10448,8768,7728,14024,15182,7678,3778,1753,1248,889,605,126,139,50,70,79,146,2,1,2,0,1,0,1,1,19
4115,3648,3378,2801,2526,2144,2003,4363,3364,1529,539,281,125,40,19,2,6,4,1,0,2,0,0,0,0,0,0,0,0,3
2269,1683,1567,1447,1234,1283,1445,3188,1861,794,513,164,80,115,88,19,28,4,2,2,20,0,1,0,0,0,0,1,0,2
3621,2778,2013,1478,1258,1180,1033,2334,1924,958,550,213,157,150,149,16,24,8,6,8,6,0,0,0,0,0,0,0,0,1
2119,2093,1922,1883,1946,1932,1749,1679,1435,1202,2163,2537,1562,802,317,111,48,44,30,54,94,21,17,8,8,6,12,8,4,6
63031,57483,52356,45426,40579,35768,33448,61873,35286,19985,11457,6315,4981,4094,3619,682,619,291,307,239,601,11,6,7,3,11,3,9,7,110
103977,80309,64880,50861,42744,35802,29551,52940,53174,33889,18608,7791,6131,7260,7408,618,599,391,374,284,567,4,0,4,0,6,0,3,5,50
2092,2773,3091,2758,2497,2377,2384,4338,2076,866,262,142,46,14,7,20,10,0,0,0,2,0,0,0,0,1,0,0,0,1
3873,2830,2336,1678,1244,1076,865,1588,1777,1333,779,426,413,231,86,27,23,4,10,6,6,2,0,0,0,0,0,0,0,5
5025,5323,5659,5211,4896,4328,3935,7461,4423,1514,887,600,105,76,53,19,23,8,6,6,32,0,0,1,0,0,0,0,0,4
100280,77859,63634,52550,43825,35872,29902,47521,54727,35701,20489,8702,5738,4797,5740,392,355,157,171,239,599,0,0,3,1,2,0,2,1,14
