127468,147464,160762,162738,154998,128969,99668,184967,161113,54655,14152,6030,2782,1644,806,341,408,91,70,55,224,0,2,6,1,1,1,6,1,71
46609,51074,51724,50704,48833,44920,40393,88516,48899,14534,4009,1648,839,506,237,129,150,36,18,12,68,0,1,0,0,1,0,3,0,18
2839,2460,2294,1879,1450,1075,680,634,1144,1385,635,456,326,264,123,40,14,16,7,3,9,0,0,0,0,0,0,0,0,7
2036,2000,1989,2151,2120,2136,2106,1865,1696,1647,1477,1258,1055,967,1238,1890,1635,1684,1059,749,499,279,157,193,144,130,137,88,39,28
61597,63747,66296,66199,64013,56986,49623,98725,58265,21888,8474,4374,2440,1535,907,431,456,85,96,59,335,3,1,9,0,1,1,7,7,106
2931,2642,2579,2453,2286,1881,1509,2639,1921,768,422,368,268,244,135,35,48,9,24,42,82,0,0,1,0,0,0,0,3,4
22588,28586,30169,29483,27461,22952,19075,33787,23639,9900,4554,2058,1242,711,401,97,168,26,30,17,116,1,0,4,0,0,2,4,0,36
2371,2265,2343,2139,2134,1978,1541,2542,2426,1001,355,135,84,54,25,15,20,11,0,0,2,0,0,1,0,0,0,0,0,3
48557,60146,64728,64478,61668,52520,44729,95155,57023,14318,4519,2677,1972,1378,904,412,318,138,148,122,191,8,1,5,4,5,0,4,1,54
1715,1962,2015,1984,1938,1792,1649,1642,1347,1346,2817,1845,922,628,348,266,189,163,86,81,29,20,11,5,4,2,12,2,2,2
2108,1793,1751,1794,1791,1660,1557,2368,1648,917,396,85,39,52,30,15,14,0,2,0,11,1,0,0,0,1,0,1,0,5
1549,2014,2038,2092,2038,1686,1552,2751,1752,641,263,74,50,42,15,25,15,0,4,0,10,0,0,1,0,0,0,0,0,1
1824,2091,2153,2006,1795,1439,1233,2203,2018,834,368,88,54,20,25,2,11,0,2,0,4,0,0,0,0,1,0,0,0,3
5831,4715,3772,2863,1983,1337,881,778,901,1258,1018,864,743,773,508,61,32,23,12,59,24,0,0,1,0,1,0,0,0,2
29496,34517,35387,33646,30826,27854,25610,52377,29285,10774,3609,1028,628,245,159,63,54,29,29,36,67,0,0,0,1,1,1,1,1,6
2794,2431,2111,1990,1968,1832,1911,4791,2058,425,205,130,98,76,39,34,13,4,4,10,13,1,0,0,1,0,0,0,0,3
1736,1878,1737,1727,1632,1535,1420,3338,1590,490,145,94,33,17,12,3,6,2,2,0,4,0,0,0,0,0,0,0,0,2
34493,52809,60336,59754,58597,51726,45179,96521,48696,11445,2620,823,352,280,90,14,5,2,6,0,0,0,0,0,0,0,0,0,0,1
54385,62942,62624,59921,56932,50408,45157,97867,51800,13183,4015,2262,1998,2018,1354,129,103,61,51,31,39,1,1,0,0,1,0,1,1,14
115602,130374,142319,154196,155926,133185,102998,192340,155801,43211,10967,4234,2584,1682,1028,408,510,93,99,72,419,4,2,4,2,2,2,7,2,96
138618,126124,120351,109172,99909,90312,84743,210261,116235,43830,17136,7909,4040,2276,1289,527,456,133,133,81,407,6,0,3,0,1,0,3,9,82
108468,154210,172088,176831,175661,152551,118112,229259,167828,43286,12438,5381,3008,2056,1264,410,648,85,108,55,551,3,7,9,1,2,8,10,6,151
29026,25857,25541,23627,21084,16928,13392,20111,23381,14824,6226,2696,1474,908,426,201,215,52,45,35,131,1,2,4,1,0,1,3,2,29
40828,41470,41719,39173,36538,30793,25410,44277,32203,18380,8566,4311,2298,1433,831,351,360,102,107,81,274,1,2,4,3,1,1,1,3,83
105042,129349,138252,146700,150725,132092,106641,212614,136140,34199,11291,6456,4267,3155,1972,506,875,81,80,64,951,3,8,21,0,1,6,24,22,260
1940,2521,2792,2766,2683,2551,2365,5766,2007,470,99,33,13,10,4,3,2,0,0,0,4,0,0,0,0,0,0,0,0,2
12192,17986,19900,20052,21265,20209,18301,38548,14834,3020,912,357,213,85,67,15,11,4,0,7,32,0,1,0,0,0,1,1,1,5
2688,2354,2293,2076,2051,1882,1590,3349,2147,742,407,127,77,77,19,26,20,6,8,2,6,0,1,0,2,0,0,0,0,4
9015,10171,10671,10401,9964,8766,7253,12919,7456,4485,1449,673,384,187,66,37,15,14,6,4,25,0,0,0,0,0,0,0,0,5
1900,1875,1852,1849,1696,1465,1120,1624,2120,942,227,123,62,36,19,14,9,8,6,0,6,1,0,1,0,0,0,0,0,3
197411,229821,235362,231633,230630,217400,208903,469544,192790,48385,14565,5964,3066,1900,1118,430,553,101,93,77,478,2,0,4,0,4,2,3,7,97
2474,2487,2409,2222,2119,1713,1395,2405,1890,1005,582,313,200,136,61,26,35,12,6,6,18,0,0,0,0,0,1,0,0,9
2783,2361,2349,2307,2123,1652,1293,2286,2312,1265,513,260,106,42,45,10,28,0,2,4,20,0,0,0,1,0,0,0,0,3
20433,17122,16561,15134,12883,10173,8310,10532,14690,10289,4975,2270,915,601,253,117,92,22,21,14,75,0,1,1,1,0,0,0,1,14
1980,1808,1823,1855,1654,1520,1485,2699,1841,670,302,119,69,34,25,16,18,4,8,2,18,0,0,0,0,0,0,0,0,1
2106,1880,1974,1801,1628,1210,817,1117,1607,1268,365,171,111,94,34,18,33,11,14,7,16,0,0,1,1,0,0,0,1,2
15944,16640,17602,15391,11368,7781,5109,5143,8966,9933,5042,2116,1082,517,141,53,41,24,16,23,20,0,0,2,0,2,0,0,1,3
3635,3156,2919,2669,2461,2235,2010,4328,3440,1385,452,123,35,31,23,13,11,2,0,0,8,0,0,0,0,0,0,0,0,1
3537,2844,2492,1962,1423,982,671,685,858,1079,859,525,379,356,242,35,23,18,5,4,7,1,0,2,0,0,0,1,0,3
173458,166319,159578,149451,139913,125800,114750,261894,170184,56263,16407,6610,3034,1719,1111,471,452,90,82,54,379,3,3,7,1,3,2,12,1,95
142851,112908,102942,94569,85770,76230,69195,146303,126821,56799,18578,7206,3859,2225,1373,540,525,101,91,70,439,4,4,9,2,3,5,5,1,103
2386,2263,2233,2153,2026,1748,1362,1140,993,1265,1601,1459,799,485,299,149,108,56,43,20,18,22,7,6,4,1,6,0,0,1
8616,7388,6239,4912,3793,2901,2125,2538,3138,2844,2038,1227,800,591,329,63,53,20,18,15,24,0,0,0,0,0,0,0,2,5
3081,2704,2652,2049,1734,1373,1140,1562,1435,1203,646,486,383,215,96,34,33,6,8,2,10,0,0,0,0,0,0,0,0,4
12302,10200,9819,8623,7417,6220,5049,5571,8277,9864,4064,1550,511,287,120,55,70,23,14,14,38,1,1,0,0,0,2,0,0,5
4994,4343,4076,3633,2982,2199,1794,2162,2959,2318,1129,577,395,245,122,26,27,10,14,6,20,0,0,0,0,0,0,0,0,6
1741,2270,2841,2647,2321,1931,1401,2454,2812,855,276,82,41,11,9,5,20,2,2,2,6,0,0,0,0,0,0,0,0,2
4385,3672,3356,2680,2000,1360,872,791,1044,1635,1349,934,541,494,156,39,45,18,12,17,29,0,0,1,0,0,0,1,2,7
1741,2122,2214,2158,2021,2037,1964,1880,1837,3021,4916,1772,559,222,145,66,53,36,6,8,28,6,7,0,2,2,0,0,4,1
6069,5138,4646,3611,2637,1804,1169,904,1347,2186,1721,1180,835,562,193,49,19,12,12,10,12,0,0,0,0,0,0,0,0,1
2136,1735,1643,1747,1739,1538,1466,1267,992,826,685,598,819,972,1196,1494,898,458,388,168,118,97,75,21,12,13,7,8,2,2
43663,48188,47719,46068,44046,39651,34673,70768,36935,12325,5841,3531,2462,1866,1120,410,375,159,127,92,270,3,0,5,3,3,0,1,2,49
967,1573,1876,2048,2223,2184,1903,1487,1140,2309,2648,1225,214,57,27,23,19,9,0,6,6,3,2,0,0,0,10,0,0,1
4385,3672,3609,2903,2435,1914,1538,1697,2514,1797,1034,552,409,290,188,65,61,25,22,21,20,1,1,0,0,0,0,1,1,5
1667,1912,1883,1841,2114,2143,1907,4329,1455,269,107,27,26,20,11,5,11,0,2,0,6,0,0,0,0,0,0,0,0,3
2174,1789,1725,1741,1576,1327,1162,1972,1918,999,307,158,85,32,15,9,24,6,0,2,10,0,0,0,0,0,0,1,0,1
2870,2874,2817,2248,1872,1428,926,778,1154,1280,886,569,341,203,74,23,5,4,2,0,16,0,0,0,0,0,0,0,0,4
6943,7503,8030,8695,8563,7446,5953,11958,8021,2146,678,316,255,149,128,33,44,25,18,16,82,2,0,5,0,0,1,0,0,7
3001,2901,2950,2495,2054,1601,1219,1375,1925,1361,785,407,200,105,48,34,26,16,8,4,16,0,0,0,0,1,0,0,0,4
1416,1660,1863,1987,2110,2026,1820,1521,1312,1037,1438,2263,1743,944,386,175,72,39,33,18,3,0,3,4,0,0,4,0,0,6
986,1329,1595,1590,1556,1520,1513,1136,1058,2127,1393,564,227,159,85,32,39,32,8,8,6,4,0,6,0,2,2,0,0,1
2622,2772,2954,2772,2368,1772,1130,1383,2169,1652,639,305,126,62,41,18,44,6,2,2,5,1,0,0,0,0,0,0,1,3
1393,1718,1906,2007,2062,2018,1980,1800,1601,1283,2535,2982,1790,684,297,129,51,20,23,12,10,8,4,4,0,2,4,0,2,2
2619,2415,2447,2642,2279,1964,1502,2288,2853,1292,366,109,59,44,13,7,3,2,7,2,10,0,0,0,0,0,0,0,0,3
2738,2987,3073,2588,2376,1985,1724,3035,1895,965,498,296,142,126,74,26,9,5,11,8,2,0,0,0,0,0,0,0,0,1
